424,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,Grav
21,8,89,0.887,84,79,40,0.102,32.6,67.4,0.149
22,7,86,0.774,61,82,42,0.113,32,70.5,0.166
23,7,58,0.691,62,68,40,0.1256,31.4,73.6,0.152
0,8,58,0.568,45,67,40,0.147,31.1,74.5,0.153
1,8,58,0.618,41,50,41,0.1227,31.3,72.2,0.128
2,8,45,0.566,49,50,38,0.1032,31.4,70.3,0.111
3,8,38,0.479,49,48,39,0.094,31,70.9,0.1
4,8,43,0.508,39,45,33,0.0829,30.7,71.1,0.091
5,9,50,0.479,33,47,32,0.0841,30.7,70.1,0.135
6,10,57,0.566,29,54,31,0.0747,31.1,68.1,0.125
7,10,69,0.681,38,52,31,0.0782,31.9,65.3,0.127
8,10,63,0.653,55,51,33,0.0702,32.6,62.8,0.126
9,10,56,0.577,84,60,31,0.0745,33.2,60.7,0.177
10,9,57,0.62,96,55,35,0.0709,34.2,56.9,0.151
11,9,56,0.592,110,46,35,0.0619,34.7,54.9,0.155
12,9,50,0.545,102,48,28,0.0564,34.5,54.1,0.13
13,9,51,0.566,96,42,25,0.0472,34.2,53,0.116
14,9,87,0.807,78,64,26,0.0588,34.6,54.8,0.125
15,8,99,0.855,79,65,27,0.0648,34,56.7,0.138
16,9,87,0.857,65,80,33,0.0719,32.7,61.5,0.166
17,8,67,0.924,45,52,35,0.0681,30.6,69.4,0.136
18,9,71,0.97,31,38,23,0.054,28.9,75.4,0.103
19,8,79,0.931,32,30,15,0.0545,29.2,72.8,0.108
20,8,75,0.768,30,35,18,0.0526,28.9,71.6,0.108
21,8,76,0.817,25,48,18,0.0483,29,70.5,0.097
22,8,66,0.801,22,45,19,0.0623,28,77.7,0.097
23,8,63,0.724,21,39,27,0.0899,27.7,80.4,0.086
0,8,49,0.746,22,35,25,0.118,27.2,83.5,0.074
1,8,40,0.896,26,29,25,0.1242,27.3,85,0.055
2,7,45,0.618,21,29,27,0.1743,27.3,85.1,0.069
3,7,45,0.602,16,34,31,0.2243,27.1,86.5,0.074
4,7,46,0.59,15,33,35,0.2445,27,87.1,0.083
5,7,44,0.581,14,41,39,0.2832,27.1,86.4,0.108
6,8,48,0.633,14,60,47,0.3066,27.6,85.3,0.21
7,8,73,0.985,11,78,46,0.2845,28,84.1,0.174
8,9,85,1.217,13,87,53,0.2977,29,80.5,0.2
9,8,97,1.314,18,87,59,0.2744,29.5,77.7,0.205
10,8,92,1.089,40,69,55,0.2457,30.2,74.7,0.186
11,8,102,1.132,51,67,55,0.2342,30.6,71.5,0.189
12,8,74,0.916,90,43,51,0.1659,30.4,71.1,0.148
13,8,73,0.842,97,31,42,0.1132,30.7,68.7,0.141
14,9,85,0.931,84,38,34,0.089,31.1,66.7,0.13
15,9,68,0.795,85,21,26,0.052,31.1,66,0.093
16,8,84,0.856,65,41,25,0.048,31.5,65,0.102
18,9,96,0.973,46,31,17,0.043,30.5,67.7,0.102
19,8,85,0.735,58,38,20,0.047,28.7,74.2,0.107
20,8,69,0.678,53,45,22,0.0614,27.9,77.1,0.125
21,8,70,0.655,41,34,17,0.0587,27.6,77.5,0.112
22,8,58,0.605,38,39,16,0.0518,27.4,79.1,0.113
23,7,45,0.521,36,29,16,0.0519,27.2,80.4,0.098
1,8,41,0.631,27,38,12,0.0642,27.3,80.3,0.108
2,7,35,0.477,30,32,17,0.0713,27.4,80.2,0.082
3,7,39,0.503,24,27,16,0.0769,26.9,82.7,0.067
4,8,36,0.46,28,19,16,0.0741,27,82.2,0.065
5,9,52,0.447,23,30,18,0.0563,27.1,80.3,0.07
6,9,58,0.588,16,38,18,0.0516,27.2,78.7,0.092
7,8,59,0.605,25,45,17,0.052,27.7,77,0.102
8,8,61,0.711,27,50,22,0.0621,28.2,75.9,0.107
9,8,68,0.989,23,64,26,0.0836,27.9,78.2,0.112
10,8,75,0.961,25,54,28,0.1409,28.2,81.6,0.091
11,8,75,0.883,28,29,33,0.1377,27.5,83.8,0.103
12,8,74,0.896,27,16,30,0.082,25.9,87.2,0.048
